지자체,어린이집,열린육아방,우리동네키움센터,국공립비율,무료육아방비율,무료키움센터비율
영등포구,229,6,13,39.3,100,100
중구,68,2,9,39.7,50,100
서초구,169,2,6,53.3,100,100
광진구,149,3,10,38.9,100,20
강동구,234,7,7,37.2,100,14.3
용산구,105,1,7,36.2,100,14.3
강남구,186,3,9,37.1,100,11.1
노원구,315,10,28,34,100,0
구로구,264,0,19,37.9,0,0
송파구,333,3,18,33,100,0
동작구,180,10,15,46.1,10,0
성북구,208,1,12,42.8,0,0
은평구,207,1,12,43.5,0,0
성동구,161,1,12,55.3,100,0
마포구,188,1,9,46.8,100,0
서대문구,133,2,8,47.4,100,0
동대문구,192,8,7,44.3,100,0
강북구,120,1,6,49.2,100,0
도봉구,165,1,6,38.8,100,0
강서구,307,1,6,30,100,0
종로구,73,2,6,46.6,100,0
양천구,242,6,5,39.3,16.7,0
중랑구,201,11,5,39.8,100,0
금천구,133,1,4,45.1,100,0
관악구,189,3,3,45.5,66.7,0